Electrode_i,Electrode_j,Voltage_V,Reciprocity_Error_V
1,1,1.33,0
2,1,1.2,0.23
3,1,1.11,0.2
4,1,1.27,0.11
5,1,1.35,0.11
6,1,1.42,0.25
7,1,1.27,0.17
8,1,1.19,0.0700000000000001
9,1,1.13,0.14
10,1,1.32,0.03
11,1,1.34,0.02
12,1,1.37,0.0299999999999998
13,1,1.21,0.13
14,1,1.19,0.15
15,1,1.21,0.03
16,1,1.37,0.0800000000000001
1,2,1.43,0.23
2,2,1.4,0
3,2,1.22,0.15
4,2,1.22,0.23
5,2,1.31,0.0799999999999998
6,2,1.47,0.0700000000000001
7,2,1.43,0.22
8,2,1.3,0.0900000000000001
9,2,1.17,0.02
10,2,1.3,0.03
11,2,1.39,0.0999999999999999
12,2,1.45,0.02
13,2,1.34,0.0699999999999998
14,2,1.28,0.15
15,2,1.21,0.19
16,2,1.35,0.0899999999999999
1,3,1.31,0.2
2,3,1.37,0.15
3,3,1.23,0
4,3,1.19,0.15
5,3,1.17,0.16
6,3,1.34,0.0899999999999999
7,3,1.37,0.04
8,3,1.35,0.0600000000000001
9,3,1.14,0.0199999999999998
10,3,1.15,0.02
11,3,1.26,0.0900000000000001
12,3,1.4,0.15
13,3,1.34,0.12
14,3,1.26,0.12
15,3,1.16,0.2
16,3,1.23,0.21
1,4,1.38,0.11
2,4,1.45,0.23
3,4,1.34,0.15
4,4,1.3,0
5,4,1.21,0.0700000000000001
6,4,1.33,0.0899999999999999
7,4,1.41,0
8,4,1.49,0.01
9,4,1.3,0.01
10,4,1.23,0.05
11,4,1.2,0.01
12,4,1.42,0.21
13,4,1.44,0.28
14,4,1.41,0.11
15,4,1.24,0.01
16,4,1.24,0.14
1,5,1.24,0.11
2,5,1.39,0.0799999999999998
3,5,1.33,0.16
4,5,1.28,0.0700000000000001
5,5,1.19,0
6,5,1.21,0.04
7,5,1.26,0.01
8,5,1.38,0.0700000000000001
9,5,1.34,0.03
10,5,1.25,0.11
11,5,1.1,0.17
12,5,1.23,0.03
13,5,1.35,0.2
14,5,1.43,0.22
15,5,1.25,0.14
16,5,1.17,0.0700000000000001
1,6,1.17,0.25
2,6,1.4,0.0700000000000001
3,6,1.43,0.0899999999999999
4,6,1.42,0.0899999999999999
5,6,1.25,0.04
6,6,1.29,0
7,6,1.3,0.1
8,6,1.42,0.0899999999999999
9,6,1.4,0.0299999999999998
10,6,1.41,0.0600000000000001
11,6,1.25,0.12
12,6,1.21,0.23
13,6,1.3,0.05
14,6,1.48,0.15
15,6,1.45,0.19
16,6,1.35,0.0800000000000001
1,7,1.1,0.17
2,7,1.21,0.22
3,7,1.33,0.04
4,7,1.41,0
5,7,1.27,0.01
6,7,1.2,0.1
7,7,1.17,0
8,7,1.32,0.12
9,7,1.32,0.15
10,7,1.39,0.0599999999999998
11,7,1.25,0.0900000000000001
12,7,1.2,0.24
13,7,1.15,0.2
14,7,1.34,0.0499999999999998
15,7,1.36,0.02
16,7,1.36,0
1,8,1.26,0.0700000000000001
2,8,1.21,0.0900000000000001
3,8,1.29,0.0600000000000001
4,8,1.48,0.01
5,8,1.45,0.0700000000000001
6,8,1.33,0.0899999999999999
7,8,1.2,0.12
8,8,1.31,0
9,8,1.39,0.22
10,8,1.44,0.2
11,8,1.36,0.0900000000000001
12,8,1.33,0.0499999999999998
13,8,1.24,0.0900000000000001
14,8,1.37,0.13
15,8,1.38,0.05
16,8,1.47,0.01
1,9,1.27,0.14
2,9,1.19,0.02
3,9,1.12,0.0199999999999998
4,9,1.31,0.01
5,9,1.37,0.03
6,9,1.37,0.0299999999999998
7,9,1.17,0.15
8,9,1.17,0.22
9,9,1.24,0
10,9,1.38,0.23
11,9,1.33,0.18
12,9,1.28,0.1
13,9,1.14,0.03
14,9,1.19,0.11
15,9,1.29,0.03
16,9,1.38,0.03
1,10,1.35,0.03
2,10,1.27,0.03
3,10,1.17,0.02
4,10,1.28,0.05
5,10,1.36,0.11
6,10,1.47,0.0600000000000001
7,10,1.33,0.0599999999999998
8,10,1.24,0.2
9,10,1.15,0.23
10,10,1.37,0
11,10,1.42,0.2
12,10,1.47,0.26
13,10,1.25,0.0900000000000001
14,10,1.22,0.01
15,10,1.27,0.1
16,10,1.44,0.14
1,11,1.32,0.02
2,11,1.29,0.0999999999999999
3,11,1.17,0.0900000000000001
4,11,1.19,0.01
5,11,1.27,0.17
6,11,1.37,0.12
7,11,1.34,0.0900000000000001
8,11,1.27,0.0900000000000001
9,11,1.15,0.18
10,11,1.22,0.2
11,11,1.3,0
12,11,1.39,0.0399999999999998
13,11,1.3,0.0800000000000001
14,11,1.22,0
15,11,1.13,0
16,11,1.32,0.11
1,12,1.4,0.0299999999999998
2,12,1.43,0.02
3,12,1.25,0.15
4,12,1.21,0.21
5,12,1.26,0.03
6,12,1.44,0.23
7,12,1.44,0.24
8,12,1.38,0.0499999999999998
9,12,1.18,0.1
10,12,1.21,0.26
11,12,1.35,0.0399999999999998
12,12,1.49,0
13,12,1.36,0
14,12,1.27,0.14
15,12,1.17,0.15
16,12,1.32,0
1,13,1.34,0.13
2,13,1.41,0.0699999999999998
3,13,1.22,0.12
4,13,1.16,0.28
5,13,1.15,0.2
6,13,1.35,0.05
7,13,1.35,0.2
8,13,1.33,0.0900000000000001
9,13,1.17,0.03
10,13,1.16,0.0900000000000001
11,13,1.22,0.0800000000000001
12,13,1.36,0
13,13,1.33,0
14,13,1.3,0.16
15,13,1.17,0.17
16,13,1.24,0.16
1,14,1.34,0.15
2,14,1.43,0.15
3,14,1.38,0.12
4,14,1.3,0.11
5,14,1.21,0.22
6,14,1.33,0.15
7,14,1.39,0.0499999999999998
8,14,1.5,0.13
9,14,1.3,0.11
10,14,1.21,0.01
11,14,1.22,0
12,14,1.41,0.14
13,14,1.46,0.16
14,14,1.43,0
15,14,1.21,0.16
16,14,1.22,0.28
1,15,1.24,0.03
2,15,1.4,0.19
3,15,1.36,0.2
4,15,1.23,0.01
5,15,1.11,0.14
6,15,1.26,0.19
7,15,1.34,0.02
8,15,1.43,0.05
9,15,1.26,0.03
10,15,1.17,0.1
11,15,1.13,0
12,15,1.32,0.15
13,15,1.34,0.17
14,15,1.37,0.16
15,15,1.18,0
16,15,1.21,0.14
1,16,1.29,0.0800000000000001
2,16,1.44,0.0899999999999999
3,16,1.44,0.21
4,16,1.38,0.14
5,16,1.24,0.0700000000000001
6,16,1.27,0.0800000000000001
7,16,1.36,0
8,16,1.48,0.01
9,16,1.41,0.03
10,16,1.3,0.14
11,16,1.21,0.11
12,16,1.32,0
13,16,1.4,0.16
14,16,1.5,0.28
15,16,1.35,0.14
16,16,1.3,0
